"cell","year"
"1","1996"
"1","1999"
"1","2000"
"1","2001"
"1","2002"
"1","2003"
"1","2004"
"1","2005"
"1","2006"
"1","2007"
"1","2008"
"1","2009"
"1","2010"
"1","2011"
"1","2012"
"1","2013"
"1","2014"
"1","2015"
"1","2016"
"1","2017"
"1","2018"
"1","2019"
"1","2020"
"4402","1996"
"4402","1999"
"4402","2000"
"4402","2001"
"4402","2002"
"4402","2003"
"4402","2004"
"4402","2005"
"4402","2006"
"4402","2007"
"4402","2008"
"4402","2009"
"4402","2010"
"4402","2011"
"4402","2012"
"4402","2013"
"4402","2014"
"4402","2015"
"4402","2016"
"4402","2017"
"4402","2018"
"4402","2019"
"4402","2020"
"4428","1996"
"4429","1996"
"4456","1996"
"4483","1996"
"4510","1996"
"4537","1996"
"4537","1999"
"4537","2000"
"4537","2001"
"4537","2002"
"4537","2003"
"4537","2004"
"4537","2005"
"4537","2006"
"4537","2007"
"4537","2008"
"4537","2009"
"4537","2010"
"4537","2011"
"4537","2012"
"4537","2013"
"4537","2014"
"4537","2015"
"4537","2016"
"4537","2017"
"4537","2018"
"4537","2019"
"4537","2020"
"6588","1996"
"6589","1996"
"6614","1996"
"6614","1999"
"6614","2000"
"6614","2001"
"6614","2002"
"6614","2003"
"6614","2004"
"6614","2005"
"6614","2006"
"6614","2007"
"6614","2008"
"6614","2009"
"6614","2010"
"6614","2011"
"6614","2012"
"6614","2013"
"6614","2014"
"6614","2015"
"6614","2016"
"6614","2017"
"6614","2018"
"6614","2019"
"6614","2020"
"6615","1996"
"6642","1996"
"6643","1996"
"6669","1996"
"6669","1999"
"6669","2000"
"6669","2001"
"6669","2002"
"6669","2003"
"6669","2004"
"6669","2005"
"6669","2006"
"6669","2007"
"6669","2008"
"6669","2009"
"6669","2010"
"6669","2011"
"6669","2012"
"6669","2013"
"6669","2014"
"6669","2015"
"6669","2016"
"6669","2017"
"6669","2018"
"6669","2019"
"6669","2020"
"6670","1996"
"6696","1996"
"6697","1996"
"6697","1999"
"6697","2000"
"6697","2001"
"6697","2002"
"6697","2003"
"6697","2004"
"6697","2005"
"6697","2006"
"6697","2007"
"6697","2008"
"6697","2009"
"6697","2010"
"6697","2011"
"6697","2012"
"6697","2013"
"6697","2014"
"6697","2015"
"6697","2016"
"6697","2017"
"6697","2018"
"6697","2019"
"6697","2020"
"6724","1996"
"6778","1996"
"6778","1999"
"6778","2000"
"6778","2001"
"6778","2002"
"6778","2003"
"6778","2004"
"6778","2005"
"6778","2006"
"6778","2007"
"6778","2008"
"6778","2009"
"6778","2010"
"6778","2011"
"6778","2012"
"6778","2013"
"6778","2014"
"6778","2015"
"6778","2016"
"6778","2017"
"6778","2018"
"6778","2019"
"6778","2020"
