"cell","year"
"2482","1997"
"2482","1998"
"2482","1999"
"2482","2000"
"2482","2001"
"2482","2002"
"2482","2003"
"2482","2004"
"2482","2005"
"2482","2006"
"2482","2007"
"2482","2008"
"2482","2009"
"2482","2010"
"2482","2011"
"2482","2012"
"2482","2013"
"2482","2014"
"2482","2015"
"2482","2016"
"2482","2017"
"2482","2018"
"2482","2019"
"2482","2020"
"2483","2017"
"2509","1997"
"2509","1998"
"2509","1999"
"2509","2000"
"2509","2001"
"2509","2002"
"2509","2003"
"2509","2004"
"2509","2005"
"2509","2006"
"2509","2007"
"2509","2008"
"2509","2009"
"2509","2010"
"2509","2011"
"2509","2012"
"2509","2013"
"2509","2014"
"2509","2015"
"2509","2016"
"2509","2017"
"2509","2018"
"2509","2019"
"2509","2020"
"2510","2017"
"2511","1997"
"2511","1998"
"2511","1999"
"2511","2000"
"2511","2001"
"2511","2002"
"2511","2003"
"2511","2004"
"2511","2005"
"2511","2006"
"2511","2007"
"2511","2008"
"2511","2009"
"2511","2010"
"2511","2011"
"2511","2012"
"2511","2013"
"2511","2014"
"2511","2015"
"2511","2016"
"2511","2017"
"2511","2018"
"2511","2019"
"2511","2020"
"2537","2017"
"2538","2017"
"2563","2017"
"2564","2017"
"2591","2017"
"2618","1997"
"2618","1998"
"2618","1999"
"2618","2000"
"2618","2001"
"2618","2002"
"2618","2003"
"2618","2004"
"2618","2005"
"2618","2006"
"2618","2007"
"2618","2008"
"2618","2009"
"2618","2010"
"2618","2011"
"2618","2012"
"2618","2013"
"2618","2014"
"2618","2015"
"2618","2016"
"2618","2017"
"2618","2018"
"2618","2019"
"2618","2020"
"2619","2017"
"2645","2017"
"2646","2017"
"2673","2017"
"2674","2017"
"2701","2017"
"2728","2017"
"2755","2017"
"4396","2017"
"4397","1997"
"4397","1998"
"4397","1999"
"4397","2000"
"4397","2001"
"4397","2002"
"4397","2003"
"4397","2004"
"4397","2005"
"4397","2006"
"4397","2007"
"4397","2008"
"4397","2009"
"4397","2010"
"4397","2011"
"4397","2012"
"4397","2013"
"4397","2014"
"4397","2015"
"4397","2016"
"4397","2017"
"4397","2018"
"4397","2019"
"4397","2020"
"4422","1997"
"4422","1998"
"4422","1999"
"4422","2000"
"4422","2001"
"4422","2002"
"4422","2003"
"4422","2004"
"4422","2005"
"4422","2006"
"4422","2007"
"4422","2008"
"4422","2009"
"4422","2010"
"4422","2011"
"4422","2012"
"4422","2013"
"4422","2014"
"4422","2015"
"4422","2016"
"4422","2017"
"4422","2018"
"4422","2019"
"4422","2020"
"4423","1997"
"4423","1998"
"4423","1999"
"4423","2000"
"4423","2001"
"4423","2002"
"4423","2003"
"4423","2004"
"4423","2005"
"4423","2006"
"4423","2007"
"4423","2008"
"4423","2009"
"4423","2010"
"4423","2011"
"4423","2012"
"4423","2013"
"4423","2014"
"4423","2015"
"4423","2016"
"4423","2017"
"4423","2018"
"4423","2019"
"4423","2020"
