haul_id;year;cell
NS-IBTS 2013 1 FR 35HT GOV R0004 1;2013;2593
NS-IBTS 2010 1 FR 35HT GOV O0020 3;2010;2593
NS-IBTS 2012 1 FR 35HT GOV Q0009 5;2012;2593
NS-IBTS 2011 1 FR 35HT GOV P0006 4;2011;2593
NS-IBTS 2010 1 FR 35HT GOV O0021 4;2010;2593
NS-IBTS 2010 1 FR 35HT GOV O0019 2;2010;2593
NS-IBTS 2011 1 FR 35HT GOV P0004 2;2011;2593
NS-IBTS 2012 1 FR 35HT GOV Q0008 4;2012;2593
NS-IBTS 2015 1 FR 35HT GOV T0005 5;2015;2566
NS-IBTS 2020 1 FR 35HT GOV Y0015 5;2020;2566
NS-IBTS 2014 1 FR 35HT GOV S0009 6;2014;2566
NS-IBTS 2013 1 FR 35HT GOV R0007 3;2013;2566
NS-IBTS 2012 1 FR 35HT GOV Q0010 6;2012;2566
NS-IBTS 2013 1 FR 35HT GOV R0006 2;2013;2566
NS-IBTS 2010 1 FR 35HT GOV O0012 1;2010;2593
NS-IBTS 2011 1 FR 35HT GOV P0003 1;2011;2593
NS-IBTS 2012 1 FR 35HT GOV Q0003 3;2012;2593
NS-IBTS 2010 1 FR 35HT GOV O0022 5;2010;2566
NS-IBTS 2018 1 FR 35HT GOV W0011 9;2018;2566
NS-IBTS 2009 1 FR 35HT GOV N0004 1;2009;2566
NS-IBTS 2010 1 FR 35HT GOV O0031 6;2010;2566
NS-IBTS 2011 1 FR 35HT GOV P0011 5;2011;2566
NS-IBTS 2013 1 FR 35HT GOV R0008 4;2013;2566
NS-IBTS 2020 1 FR 35HT GOV Y0013 4;2020;2566
NS-IBTS 2017 1 FR 35HT GOV V0010 6;2017;2566
NS-IBTS 2012 1 FR 35HT GOV Q0015 7;2012;2566
NS-IBTS 2008 1 FR 35HT GOV M0001 1;2008;2566
NS-IBTS 2015 1 FR 35HT GOV T0017 11;2015;2566
NS-IBTS 2019 1 FR 35HT GOV X0008 2;2019;2566
NS-IBTS 2011 1 NL 64T2 GOV 28F051 51;2011;2566
NS-IBTS 2017 1 FR 35HT GOV V0009 5;2017;2566
NS-IBTS 2008 1 NL 64T2 GOV 28F047 47;2008;2566
NS-IBTS 2007 1 FR 35HT GOV L0006 1;2007;2566
NS-IBTS 2016 1 FR 35HT GOV U0026 12;2016;2566
NS-IBTS 2014 1 FR 35HT GOV S0013 7;2014;2566
NS-IBTS 2007 1 NL 64T2 GOV 28F059 59;2007;2566
NS-IBTS 2009 1 NL 64T2 GOV 28F049 49;2009;2566
NS-IBTS 2010 1 NL 64T2 GOV 28F049 49;2010;2566
NS-IBTS 2014 1 NL 64T2 GOV 28F009 9;2014;2566
NS-IBTS 2013 1 NL 64T2 GOV 28F043 43;2013;2566
NS-IBTS 2012 1 NL 64T2 GOV 28F052 52;2012;2566
NS-IBTS 2010 1 FR 35HT GOV O0049 15;2010;2593
NS-IBTS 2011 1 FR 35HT GOV P0012 6;2011;2566
NS-IBTS 2009 1 FR 35HT GOV N0030 13;2009;2566
NS-IBTS 2010 1 FR 35HT GOV O0032 7;2010;2566
NS-IBTS 2014 1 FR 35HT GOV S0014 8;2014;2566
NS-IBTS 2013 1 FR 35HT GOV R0012 5;2013;2566
NS-IBTS 2010 1 FR 35HT GOV O0048 14;2010;2539
NS-IBTS 2013 1 FR 35HT GOV R0027 12;2013;2539
NS-IBTS 2012 1 FR 35HT GOV Q0042 20;2012;2566
NS-IBTS 2015 1 FR 35HT GOV T0018 12;2015;2566
NS-IBTS 2020 1 FR 35HT GOV Y0011 3;2020;2566
NS-IBTS 2016 1 FR 35HT GOV U0027 13;2016;2566
NS-IBTS 2010 1 FR 35HT GOV O0050 16;2010;2566
NS-IBTS 2012 1 FR 35HT GOV Q0002 2;2012;2539
NS-IBTS 2009 1 FR 35HT GOV N0005 2;2009;2566
NS-IBTS 2017 1 FR 35HT GOV V0011 7;2017;2566
NS-IBTS 2013 1 NL 64T2 GOV 29F042 42;2013;2566
NS-IBTS 2014 1 NL 64T2 GOV 29F008 8;2014;2566
NS-IBTS 2009 1 NL 64T2 GOV 29F050 50;2009;2566
NS-IBTS 2011 1 NL 64T2 GOV 29F050 50;2011;2566
NS-IBTS 2012 1 NL 64T2 GOV 29F051 51;2012;2566
NS-IBTS 2018 1 FR 35HT GOV W0144 61;2018;2566
NS-IBTS 2008 1 FR 35HT GOV M0010 3;2008;2566
NS-IBTS 2020 1 FR 35HT GOV Y0177 56;2020;2566
NS-IBTS 2010 1 FR 35HT GOV O0033 8;2010;2566
NS-IBTS 2019 1 FR 35HT GOV X0150 53;2019;2566
NS-IBTS 2007 1 NL 64T2 GOV 29F060 60;2007;2566
NS-IBTS 2008 1 NL 64T2 GOV 29F048 48;2008;2566
NS-IBTS 2009 1 NL 64T2 GOV 29F151 51;2009;2566
NS-IBTS 2013 1 FR 35HT GOV R0013 6;2013;2566
NS-IBTS 2016 1 NL 74E9 GOV 29F142 42;2016;2566
NS-IBTS 2008 1 FR 35HT GOV M0011 4;2008;2566
NS-IBTS 2012 1 FR 35HT GOV Q0016 8;2012;2566
NS-IBTS 2015 1 FR 35HT GOV T0019 13;2015;2566
NS-IBTS 2013 1 FR 35HT GOV R0040 19;2013;2539
NS-IBTS 2010 1 NL 64T2 GOV 29F048 48;2010;2566
NS-IBTS 2007 1 FR 35HT GOV L0014 3;2007;2566
NS-IBTS 2010 1 FR 35HT GOV O0040 12;2010;2566
NS-IBTS 2009 1 FR 35HT GOV N0006 3;2009;2566
NS-IBTS 2008 1 NL 64T2 GOV 29F149 49;2008;2566
NS-IBTS 2010 1 NL 64T2 GOV 29F150 50;2010;2566
NS-IBTS 2011 1 NL 64T2 GOV 29F152 52;2011;2566
NS-IBTS 2015 1 FR 35HT GOV T0020 14;2015;2566
NS-IBTS 2011 1 FR 35HT GOV P0025 11;2011;2566
NS-IBTS 2011 1 FR 35HT GOV P0026 12;2011;2566
NS-IBTS 2014 1 FR 35HT GOV S0039 19;2014;2566
NS-IBTS 2020 1 FR 35HT GOV Y0178 57;2020;2566
NS-IBTS 2007 1 FR 35HT GOV L0007 2;2007;2566
NS-IBTS 2010 1 FR 35HT GOV O0037 9;2010;2566
NS-IBTS 2011 1 FR 35HT GOV P0013 7;2011;2566
NS-IBTS 2019 1 FR 35HT GOV X0156 54;2019;2566
NS-IBTS 2020 1 FR 35HT GOV Y0003 2;2020;2566
NS-IBTS 2018 1 FR 35HT GOV W0001 6;2018;2566
NS-IBTS 2009 1 FR 35HT GOV N0024 12;2009;2566
NS-IBTS 2013 1 NL 64T2 GOV 29F144 44;2013;2566
NS-IBTS 2014 1 NL 64T2 GOV 29F110 10;2014;2566
NS-IBTS 2017 1 FR 35HT GOV V0002 2;2017;2566
NS-IBTS 2013 1 FR 35HT GOV R0041 20;2013;2566
NS-IBTS 2010 1 FR 35HT GOV O0063 22;2010;2539
NS-IBTS 2009 1 FR 35HT GOV N0019 8;2009;2566
NS-IBTS 2009 1 FR 35HT GOV N0018 7;2009;2539
NS-IBTS 2018 1 FR 35HT GOV W0002 7;2018;2566
NS-IBTS 2012 1 NL 64T2 GOV 29F153 53;2012;2566
NS-IBTS 2007 1 NL 64T2 GOV 29F058 58;2007;2566
NS-IBTS 2014 1 FR 35HT GOV S0035 18;2014;2566
NS-IBTS 2013 1 FR 35HT GOV R0035 17;2013;2566
NS-IBTS 2017 1 FR 35HT GOV V0018 11;2017;2566
NS-IBTS 2020 1 FR 35HT GOV Y0179 58;2020;2566
