haul_id;year;cell
EVHOE 2011 4 FR 35HT GOV P1073 29;2011;13265
EVHOE 2012 4 FR 35HT GOV Q0847 12;2012;13265
EVHOE 2015 4 FR 35HT GOV T0662 26;2015;13265
EVHOE 2001 4 FR 35HT GOV F0334 20;2001;13265
EVHOE 1998 4 FR 35HT GOV C0327 33;1998;13265
EVHOE 2019 4 FR 35HT GOV X0479 33;2019;13265
EVHOE 2009 4 FR 35HT GOV N0758 9;2009;13265
EVHOE 2011 4 FR 35HT GOV P1074 30;2011;13265
EVHOE 2005 4 FR 35HT GOV J0470 11;2005;13265
EVHOE 2008 4 FR 35HT GOV M0866 24;2008;13265
EVHOE 2013 4 FR 35HT GOV R0347 9;2013;13265
EVHOE 2014 4 FR 35HT GOV S0851 32;2014;13265
EVHOE 2007 4 FR 35HT GOV L0738 13;2007;13265
EVHOE 2018 4 FR 35HT GOV W0558 27;2018;13265
EVHOE 2016 4 FR 35HT GOV U0529 24;2016;13265
EVHOE 2008 4 FR 35HT GOV M0868 26;2008;13265
EVHOE 2020 4 FR 35HT GOV Y0325 37;2020;13265
EVHOE 2014 4 FR 35HT GOV S0852 33;2014;13265
EVHOE 2019 4 FR 35HT GOV X0480 34;2019;13265
EVHOE 1997 4 FR 35HT GOV B1008 20;1997;13265
EVHOE 2006 4 FR 35HT GOV K0682 14;2006;13265
EVHOE 2018 4 FR 35HT GOV W0559 28;2018;13265
EVHOE 2004 4 FR 35HT GOV I0374 8;2004;13265
EVHOE 2014 4 FR 35HT GOV S0853 34;2014;13265
EVHOE 2008 4 FR 35HT GOV M0867 25;2008;13265
EVHOE 2016 4 FR 35HT GOV U0528 23;2016;13265
EVHOE 2009 4 FR 35HT GOV N0759 10;2009;13265
EVHOE 2005 4 FR 35HT GOV J0471 12;2005;13265
EVHOE 2020 4 FR 35HT GOV Y0324 36;2020;13265
EVHOE 2003 4 FR 35HT GOV H0426 31;2003;13265
EVHOE 2004 4 FR 35HT GOV I0373 7;2004;13265
EVHOE 2007 4 FR 35HT GOV L0739 14;2007;13265
EVHOE 1997 4 FR 35HT GOV B1010 21;1997;13265
EVHOE 2006 4 FR 35HT GOV K0683 15;2006;13265
EVHOE 2007 4 FR 35HT GOV L0737 12;2007;13265
EVHOE 2004 4 FR 35HT GOV I0375 9;2004;13265
EVHOE 2006 4 FR 35HT GOV K0681 13;2006;13265
EVHOE 1997 4 FR 35HT GOV B1018 25;1997;13183
EVHOE 1999 4 FR 35HT GOV D0896 109;1999;13265
EVHOE 1997 4 FR 35HT GOV B1012 22;1997;13265
EVHOE 2009 4 FR 35HT GOV N0757 8;2009;13265
EVHOE 2013 4 FR 35HT GOV R0348 10;2013;13265
EVHOE 2018 4 FR 35HT GOV W0560 29;2018;13265
EVHOE 2015 4 FR 35HT GOV T0663 27;2015;13265
EVHOE 2014 4 FR 35HT GOV S0850 31;2014;13265
EVHOE 2020 4 FR 35HT GOV Y0326 38;2020;13265
EVHOE 1997 4 FR 35HT GOV B1016 24;1997;13183
EVHOE 1997 4 FR 35HT GOV B1014 23;1997;13184
EVHOE 1997 4 FR 35HT GOV B1028 30;1997;13184
EVHOE 1997 4 FR 35HT GOV B1020 26;1997;13184
EVHOE 1997 4 FR 35HT GOV B1022 27;1997;13184
EVHOE 2013 4 FR 35HT GOV R0342 6;2013;13266
EVHOE 2016 4 FR 35HT GOV U0542 34;2016;13266
EVHOE 2020 4 FR 35HT GOV Y0333 45;2020;13266
EVHOE 1999 4 FR 35HT GOV D0904 114;1999;13266
EVHOE 2008 4 FR 35HT GOV M0873 29;2008;13266
EVHOE 2015 4 FR 35HT GOV T0666 30;2015;13266
EVHOE 2004 4 FR 35HT GOV I0386 20;2004;13266
EVHOE 2014 4 FR 35HT GOV S0856 37;2014;13266
EVHOE 2005 4 FR 35HT GOV J0464 5;2005;13266
EVHOE 2001 4 FR 35HT GOV F0324 15;2001;13266
