haul_id;year;cell
FR-CGFS 2003 4 FR 35GD GOV C03005 5;2003;7534
FR-CGFS 2006 4 FR 35GD GOV C06007 7;2006;7534
FR-CGFS 2004 4 FR 35GD GOV C04003 3;2004;7534
FR-CGFS 1998 4 FR 35GD GOV C98003 3;1998;7534
FR-CGFS 2000 4 FR 35GD GOV C00024 24;2000;7534
FR-CGFS 1999 4 FR 35GD GOV C99025 25;1999;7534
FR-CGFS 2005 4 FR 35GD GOV C05012 12;2005;7534
FR-CGFS 2001 4 FR 35GD GOV C01015 15;2001;7534
FR-CGFS 2012 4 FR 35GD GOV C12007 7;2012;7534
FR-CGFS 2002 4 FR 35GD GOV C02017 17;2002;7534
FR-CGFS 2009 4 FR 35GD GOV C09010 10;2009;7534
FR-CGFS 2010 4 FR 35GD GOV C10025 25;2010;7534
FR-CGFS 2007 4 FR 35GD GOV C07026 26;2007;7534
FR-CGFS 2008 4 FR 35GD GOV C08016 16;2008;7534
FR-CGFS 2013 4 FR 35GD GOV C13003 3;2013;7534
FR-CGFS 2011 4 FR 35GD GOV C11004 4;2011;7534
FR-CGFS 2000 4 FR 35GD GOV C00031 31;2000;7534
FR-CGFS 2012 4 FR 35GD GOV C12009 9;2012;7534
FR-CGFS 2008 4 FR 35GD GOV C08010 10;2008;7534
FR-CGFS 1998 4 FR 35GD GOV C98010 10;1998;7534
FR-CGFS 2007 4 FR 35GD GOV C07019 19;2007;7534
FR-CGFS 2011 4 FR 35GD GOV C11010 10;2011;7534
FR-CGFS 2010 4 FR 35GD GOV C10018 18;2010;7534
FR-CGFS 2006 4 FR 35GD GOV C06010 10;2006;7534
FR-CGFS 2013 4 FR 35GD GOV C13029 29;2013;7534
FR-CGFS 2010 4 FR 35GD GOV C10024 24;2010;7534
FR-CGFS 1998 4 FR 35GD GOV C98004 4;1998;7534
FR-CGFS 1999 4 FR 35GD GOV C99027 27;1999;7534
FR-CGFS 2002 4 FR 35GD GOV C02011 11;2002;7534
FR-CGFS 2003 4 FR 35GD GOV C03007 7;2003;7534
FR-CGFS 2001 4 FR 35GD GOV C01011 11;2001;7534
FR-CGFS 2000 4 FR 35GD GOV C00025 25;2000;7534
FR-CGFS 2005 4 FR 35GD GOV C05015 15;2005;7534
FR-CGFS 2006 4 FR 35GD GOV C06003 3;2006;7534
FR-CGFS 1998 4 FR 35GD GOV C98006 6;1998;7534
FR-CGFS 2003 4 FR 35GD GOV C03006 6;2003;7534
FR-CGFS 2005 4 FR 35GD GOV C05014 14;2005;7534
FR-CGFS 2009 4 FR 35GD GOV C09007 7;2009;7534
FR-CGFS 2013 4 FR 35GD GOV C13005 5;2013;7534
FR-CGFS 2011 4 FR 35GD GOV C11006 6;2011;7534
FR-CGFS 2008 4 FR 35GD GOV C08012 12;2008;7534
FR-CGFS 2010 4 FR 35GD GOV C10020 20;2010;7534
FR-CGFS 2012 4 FR 35GD GOV C12008 8;2012;7534
FR-CGFS 2012 4 FR 35GD GOV C12004 4;2012;7534
FR-CGFS 2007 4 FR 35GD GOV C07024 24;2007;7534
FR-CGFS 2008 4 FR 35GD GOV C08013 13;2008;7534
FR-CGFS 2004 4 FR 35GD GOV C04007 7;2004;7534
FR-CGFS 2004 4 FR 35GD GOV C04008 8;2004;7534
FR-CGFS 2002 4 FR 35GD GOV C02016 16;2002;7534
FR-CGFS 2006 4 FR 35GD GOV C06008 8;2006;7534
FR-CGFS 2000 4 FR 35GD GOV C00029 29;2000;7534
FR-CGFS 2001 4 FR 35GD GOV C01010 10;2001;7534
FR-CGFS 2007 4 FR 35GD GOV C07025 25;2007;7534
FR-CGFS 1999 4 FR 35GD GOV C99026 26;1999;7534
FR-CGFS 2009 4 FR 35GD GOV C09009 9;2009;7534
FR-CGFS 2013 4 FR 35GD GOV C13009 9;2013;7534
FR-CGFS 2011 4 FR 35GD GOV C11003 3;2011;7534
FR-CGFS 2007 4 FR 35GD GOV C07021 21;2007;7534
FR-CGFS 2004 4 FR 35GD GOV C04004 4;2004;7534
FR-CGFS 2006 4 FR 35GD GOV C06006 6;2006;7534
FR-CGFS 1998 4 FR 35GD GOV C98005 5;1998;7534
FR-CGFS 2008 4 FR 35GD GOV C08015 15;2008;7534
FR-CGFS 2011 4 FR 35GD GOV C11005 5;2011;7534
